"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","new_flow"
"7877",3,2,1,2,3,81.1700880773243,0.000151777699374065,4.38514430384634,49.4746912417353,1.69438309257163,"E",40.4528519549544
"7878",3,2,2,1,2,74.9705728815338,0.000177917366265539,3.50575995653951,49.4780459963911,1.69441253999222,"E",36.5635596986858
"7879",1,2,1,1,3,70.78757120928,0.000199565735471903,4.49970800052164,49.4819957678522,1.69444720780198,"E",39.5200119915615
"7880",3,1,1,1,1,70.78757120928,0.000199565735471903,4.49970800052164,49.4819957678522,1.69444720780198,"E",39.5200119915615
"7881",3,2,2,1,2,67.1548361568517,0.000221740699026624,4.19889984217548,49.4841645310931,1.69446624222558,"E",37.4945967517198
"7882",3,2,2,2,3,73.8517546804702,0.000183348922993461,3.58170653377255,49.4909036106121,1.69452538328216,"E",36.6118112940833
"7883",1,1,1,2,1,104.25851501084,9.19976916299451e-05,0.948612635053411,49.4962342983124,1.69457215881895,"E",35.2876721515261
"7884",1,1,1,2,3,87.7125432721178,0.000129980017893145,2.06034294047148,49.4966132936168,1.69457548422221,"E",35.3976895145115
"7885",3,2,2,3,2,66.5417025107865,0.00022584588567974,4.34878879687886,49.5024393004881,1.6946265999162,"E",37.9786684530153
"7886",3,2,1,3,2,65.8740956641404,0.000230446792476423,5.53611944162685,49.5070607701248,1.69466714307138,"E",44.1043311469032
"7887",1,1,1,1,3,93.5151818259501,0.000114349890947665,1.482277487174,49.5100519171218,1.69469338174065,"E",35.4965823037278
"7888",1,1,2,1,2,62.0380581037256,0.000259826599560415,3.95730979258015,49.5121656886847,1.69471192302054,"E",35.3243949718443
"7889",3,2,1,3,2,68.9046072430124,0.000210621876073612,5.00855978402099,49.5358165104136,1.69491932596478,"E",41.6784813246394
"7890",3,2,2,3,2,63.012960071759,0.000251849003797481,5.12330963055453,49.5415534252994,1.69496962020417,"E",40.944553200509
"7891",3,2,2,2,2,60.6041271202296,0.000272267371751377,4.28162313764061,49.5531319958177,1.69507110918485,"E",36.1885822677643
"7892",1,1,1,1,3,83.5936198308989,0.000143104646914481,2.26479423719107,49.5612635271181,1.69514236985617,"E",35.3039128676253
"7893",2,1,2,2,2,72.0537059824474,0.000192613779835962,4.45458605227594,49.5639053270284,1.69516551875239,"E",39.5465494602713
"7894",1,1,2,1,2,80.4300015081947,0.000154583752776531,2.13457565537532,49.5840781405487,1.69534224330918,"E",34.964800798691
"7895",1,1,2,1,3,70.1606707755748,0.000203147992518901,3.44663924983483,49.6023336191351,1.69550210903198,"E",35.5796761078938
"7896",2,1,1,1,2,79.7008583816278,0.000157425108906061,3.14055750728531,49.61603474654,1.69562205303355,"E",36.2415355092095
"7897",3,2,1,3,1,65.2054491919036,0.000235197238282141,6.03202110040032,49.6326072147625,1.69576708940736,"E",47.2837347208025
"7898",1,1,1,1,2,78.7329870023082,0.000161319379783649,3.31478351528887,49.6375896683405,1.69581068460844,"E",36.5461722279581
"7899",1,2,1,3,2,79.8312590638103,0.000156911235624225,3.15671788163442,49.6486053685512,1.69590705365216,"E",36.290879131968
"7900",3,1,1,2,2,79.8312590638103,0.000156911235624225,3.15671788163442,49.6486053685512,1.69590705365216,"E",36.290879131968
"7901",3,2,2,3,2,68.4815196514774,0.000213232413160391,4.02651845902128,49.6504284191523,1.69592300024874,"E",37.1123780303436
"7902",2,1,1,1,3,92.9845371801925,0.00011565876017016,2.79134817145389,49.6558455876284,1.69597038187498,"E",36.1428010258424
"7903",2,1,1,2,1,98.0330985229684,0.000104052984380505,2.32586324367784,49.6781349630424,1.69616528301266,"E",35.3669752890861
"7904",1,2,1,2,2,93.2678374623766,0.0001149572022309,2.71293441507167,49.688499639516,1.69625588327971,"E",36.0164242171819
"7905",3,1,1,2,3,93.2678374623766,0.0001149572022309,2.71293441507167,49.688499639516,1.69625588327971,"E",36.0164242171819
"7906",1,1,2,3,1,60.7050471623191,0.000271362854057253,4.23180571381758,49.7298284843454,1.69661696137518,"E",36.011970284675
"7907",2,1,1,3,1,111.499260081264,8.04370304825806e-05,0.195034136324415,49.7356152799359,1.6966674949736,"E",35.8036548018499
"7908",1,2,2,3,1,60.6825374473858,0.000271564211273301,5.71508225496979,49.744977276778,1.69674923681842,"E",43.9281530813839
"7909",2,1,2,3,3,60.6825374473858,0.000271564211273301,5.71508225496979,49.744977276778,1.69674923681842,"E",43.9281530813839
"7910",3,1,2,1,3,60.6825374473858,0.000271564211273301,5.71508225496979,49.744977276778,1.69674923681842,"E",43.9281530813839
"7911",1,1,2,2,3,75.5341518459422,0.000175272300128945,2.80898721560147,49.748441380464,1.69677947884119,"E",35.0902611577934
"7912",2,1,2,2,1,55.7635810795363,0.000321587150953164,4.75562926358456,49.7542432047855,1.69683012471675,"E",36.8807453610667
"7913",1,2,2,3,1,67.7738106194934,0.000217708903496992,4.30818313916437,49.7545265306184,1.69683259780221,"E",38.0783788174243
"7914",2,1,2,1,3,67.7738106194934,0.000217708903496992,4.30818313916437,49.7545265306184,1.69683259780221,"E",38.0783788174243
"7915",3,1,2,2,3,67.7738106194934,0.000217708903496992,4.30818313916437,49.7545265306184,1.69683259780221,"E",38.0783788174243
"7916",2,1,2,1,1,65.645436572864,0.000232054993427465,3.64418627291716,49.7555346370257,1.69684139721495,"E",35.1871737029842
"7917",1,1,1,2,3,86.7649699777312,0.000132834583480698,1.95409941837978,49.7599136669937,1.69687961818636,"E",35.3372144671745
"7918",3,2,2,2,2,65.1610782810138,0.000235517658665077,4.18392646474848,49.760475851048,1.69688452478759,"E",36.9764282552732
"7919",2,1,1,3,1,83.6858547360453,0.000142789373329476,3.12108026318687,49.7793372495936,1.69704911021632,"E",36.5406692940985
"7920",2,1,1,2,2,67.9965496185163,0.000216284924206917,5.37240846629489,49.7860823199574,1.69710795287185,"E",43.5676724615514
"7921",1,1,1,2,3,74.7764930435997,0.00017884212171066,2.97234013960562,49.7900762511242,1.69714279137723,"E",35.2693865702739
"7922",1,2,1,3,3,67.9944186091983,0.00021629848156709,5.35647672884038,49.8190093033927,1.69739508694301,"E",43.4714597689248
"7923",3,1,1,2,2,67.9944186091983,0.00021629848156709,5.35647672884038,49.8190093033927,1.69739508694301,"E",43.4714597689248
"7924",3,2,2,3,1,71.911024850788,0.00019337888133399,3.69337037652214,49.8418239319058,1.6975939266902,"E",36.6278184895387
"7925",1,1,2,3,1,73.0271864051707,0.000187512775916172,3.03060706647661,49.8420868912702,1.6975962179687,"E",35.1074772409186
"7926",2,1,1,3,1,96.2978002811535,0.000107836868202044,1.36351087064582,49.8620886722063,1.69777046670315,"E",35.4817611973194
"7927",2,1,1,1,2,85.688125670227,0.000136194231523914,2.70694050971249,49.8638063034146,1.69778542686482,"E",35.9049036496614
"7928",1,1,2,1,3,72.1087519787822,0.000192319819110166,3.23528770599107,49.8669422622162,1.69781273899519,"E",35.3993046704825
"7929",1,1,1,3,1,75.2345000126007,0.000176671266253769,3.29756318638089,49.8740633468099,1.69787475256184,"E",36.0505298740391
"7930",1,2,2,2,3,75.3935474869435,0.000175926653984286,2.72661377555113,49.8745484506685,1.6978789767395,"E",34.9411496319383
"7931",2,1,2,2,2,75.3935474869435,0.000175926653984286,2.72661377555113,49.8745484506685,1.6978789767395,"E",34.9411496319383
"7932",3,1,2,1,2,75.3935474869435,0.000175926653984286,2.72661377555113,49.8745484506685,1.6978789767395,"E",34.9411496319383
"7933",1,1,2,1,2,77.7327425301137,0.000165497721470837,2.88853104788364,49.875409441628,1.69788647395816,"E",35.5174994340934
"7934",4,1,1,1,2,77.23646745996,0.0001676313317385,3.30316138369114,49.8890835814233,1.69800552640488,"E",36.337408845186
"7935",3,2,2,3,2,66.1736146149091,0.000228365389685404,4.43146375866184,49.8950885948233,1.69805779810548,"E",38.2537731563422
"7936",3,2,2,2,1,79.1415066159213,0.000159658252928957,2.71612255089439,49.8955832030131,1.69806210322947,"E",35.4008054339564
"7937",1,1,2,1,2,71.9376516260648,0.000193235754529806,3.43896955149188,49.9086695541322,1.69817599276734,"E",35.8866135962485
"7938",4,2,1,2,1,75.5453698225176,0.000175220250491011,3.16965008001751,49.9176852470352,1.69825443829802,"E",35.7931480133781
"7939",3,2,1,3,3,86.9011258008987,0.000132418661747781,3.62180797577081,49.921195057142,1.6982849733192,"E",38.0102333545949
"7940",2,1,2,1,3,83.0971568377312,0.000144819709048633,1.85268426356647,49.924449650811,1.69831328606285,"E",35.1241722666522
"7941",1,1,2,3,1,55.6307209512051,0.000323125046912549,4.85629121713851,49.930299831125,1.69836417399847,"E",37.3461135202022
"7942",3,2,1,2,1,76.9086969285867,0.000169063203418101,3.94412052089445,49.9524914973722,1.6985571545555,"E",38.2376040250389
"7943",3,2,1,2,2,81.6235105420131,0.000150096118405162,3.64224071687041,49.9631315096464,1.69864965057357,"E",37.745620316176
"7944",3,2,1,3,2,83.7016491734721,0.000142735489921922,3.26512510112788,49.9645994248243,1.69866240994388,"E",36.8720696657611
"7945",2,1,1,1,1,63.171694650318,0.00025058492755435,5.89061391481589,49.9662311521408,1.69867659275744,"E",45.7847194067414
"7946",3,2,1,3,2,89.7715021150125,0.00012408606592083,3.35623270529327,49.9724248266402,1.69873042335252,"E",37.3359430618936
"7947",4,1,1,2,2,74.5188607343419,0.00018008087271254,3.61355499547698,49.9793451317611,1.69879056136375,"E",36.8105654151095
"7948",3,2,2,1,2,62.8762545560625,0.000252945334235792,4.54128403559771,49.9793785397553,1.69879085166172,"E",37.9409771710698
"7949",1,1,1,1,2,88.3372644577076,0.000128148081084586,1.91249256690226,49.9820990635724,1.69881449093777,"E",35.3809418453964
"7950",1,1,1,1,3,103.0334636274,9.41983728296538e-05,0.548075657005532,49.9907634338882,1.69888976913093,"E",36.1898862727944
"7951",1,2,2,2,2,77.4096579764693,0.000166882079500252,1.37510389493151,49.9987155598918,1.69895884768769,"E",34.756432487515
"7952",2,1,2,3,3,77.4096579764693,0.000166882079500252,1.37510389493151,49.9987155598918,1.69895884768769,"E",34.756432487515
"7953",3,1,2,2,1,77.4096579764693,0.000166882079500252,1.37510389493151,49.9987155598918,1.69895884768769,"E",34.756432487515
