"","Comment","Age","...3","Sex","Trap length (m)","Start time","Finish Time","Time (s)","(Mean Speed m/s)","(Mean Speed m/min)","Pedestrian Density (Peds/m2)","Pedestrian Density (Peds/m2) b","Pedestrian Flow (peds/m/s)","Pedestrian Flow (peds/m/min)"
"125",NA,"Adult",98,"M",4.2,9.265,12.515,3.25,1.29230769230769,77.5384615384615,4,0.317460317460317,36,48
"126",NA,"Adult",82,"M",4.2,47.374,49.873,2.499,1.68067226890757,100.840336134454,1,0.0793650793650794,30,40
"127",NA,"Adult",174,"M",4.2,32.697,35.204,2.507,1.67530913442362,100.518548065417,1,0.0793650793650794,33,44
"128",NA,"Adult",129,"M",4.2,63.647,66.147,2.50000000000001,1.68,100.8,1,0.0793650793650794,40,53.3333333333333
"129",NA,"Adult",178,"M",4.2,38.024,40.777,2.753,1.52560842717036,91.5365056302216,2,0.158730158730159,33,44
"130",NA,"Adult",265,"F",4.2,50.268,53.77,3.502,1.19931467732724,71.9588806396344,4,0.317460317460317,44,58.6666666666667
"131",NA,"Adult",304,"F",4.2,58.516,61.786,3.27,1.28440366972477,77.0642201834862,4,0.317460317460317,21,28
"132",NA,"Adult",183,"M",4.2,20.246,24.019,3.773,1.11317254174397,66.7903525046382,5,0.396825396825397,35,46.6666666666667
"133",NA,"Adult",311,"F",4.2,47.455,50.728,3.273,1.28322639780018,76.9935838680109,4,0.317460317460317,21,28
"134",NA,"Adult",375,"F",4.2,7.561,11.561,4,1.05,63,5,0.396825396825397,19,25.3333333333333
"135",NA,"Adult",189,"F",4.2,26.484,30.26,3.776,1.11228813559322,66.7372881355932,5,0.396825396825397,35,46.6666666666667
"136",NA,"Adult",197,"M",4.2,44.148,47.398,3.25,1.29230769230769,77.5384615384615,4,0.317460317460317,35,46.6666666666667
"137",NA,"Adult",359,"F",4.2,16.294,20.047,3.753,1.11910471622702,67.1462829736211,5,0.396825396825397,23,30.6666666666667
"138",NA,"Adult",175,"M",4.2,33.955,36.456,2.501,1.67932826869252,100.759696121551,1,0.0793650793650794,33,44
"139",NA,"Adult",208,"M",4.2,24.308,28.306,3.998,1.05052526263132,63.0315157578789,5,0.396825396825397,34,45.3333333333333
"140",NA,"Adult",241,"F",4.2,33.479,37.479,4,1.05,63,5,0.396825396825397,37,49.3333333333333
"141",NA,"Adult",79,"M",4.2,33.018,36.515,3.497,1.20102945381756,72.0617672290535,4,0.317460317460317,30,40
"142",NA,"Adult",187,"M",4.2,22.202,25.482,3.28,1.28048780487805,76.829268292683,4,0.317460317460317,35,46.6666666666667
"143",NA,"Adult",266,"F",4.2,9.018,12.018,3,1.4,84,3,0.238095238095238,44,58.6666666666667
"144",NA,"Adult",161,"F",4.2,19.844,22.594,2.75,1.52727272727273,91.6363636363636,2,0.158730158730159,33,44
"145",NA,"Adult",119,"F",4.2,50.777,53.779,3.002,1.39906728847435,83.944037308461,3,0.238095238095238,40,53.3333333333333
"146",NA,"Adult",190,"F",4.2,26.293,30.044,3.751,1.11970141295654,67.1820847773927,5,0.396825396825397,35,46.6666666666667
"147",NA,"Adult",379,"F",4.2,56.154,58.904,2.75,1.52727272727273,91.6363636363636,2,0.158730158730159,19,25.3333333333333
"148",NA,"Adult",122,"F",4.2,52.522,57.027,4.505,0.932297447280799,55.9378468368479,6,0.476190476190476,40,53.3333333333333
"149",NA,"Adult",243,"M",4.2,37.339,41.087,3.748,1.12059765208111,67.2358591248665,5,0.396825396825397,37,49.3333333333333
"150",NA,"Adult",356,"M",4.2,52.707,56.455,3.748,1.12059765208111,67.2358591248666,5,0.396825396825397,20,26.6666666666667
"151",NA,"Adult",204,"M",4.2,36.305,39.799,3.494,1.20206067544362,72.1236405266171,4,0.317460317460317,35,46.6666666666667
"152",NA,"Adult",195,"M",4.2,37.438,39.936,2.498,1.68134507606085,100.880704563651,1,0.0793650793650794,35,46.6666666666667
"153",NA,"Adult",286,"F",4.2,56.976,59.979,3.003,1.3986013986014,83.9160839160839,3,0.238095238095238,44,58.6666666666667
"154",NA,"Adult",136,"F",4.2,56.518,59.764,3.246,1.29390018484288,77.634011090573,4,0.317460317460317,40,53.3333333333333
"155",NA,"Adult",111,"F",4.2,1.527,4.779,3.252,1.29151291512915,77.4907749077491,4,0.317460317460317,40,53.3333333333333
"156",NA,"Adult",252,"F",4.2,37.938,41.438,3.5,1.2,72,4,0.317460317460317,37,49.3333333333333
"157",NA,"Adult",370,"M",4.2,20.509,24.76,4.251,0.988002822865208,59.2801693719125,6,0.476190476190476,23,30.6666666666667
"158",NA,"Adult",343,"M",4.2,58.888,61.886,2.998,1.40093395597065,84.0560373582387,3,0.238095238095238,20,26.6666666666667
"159",NA,"Adult",236,"M",4.2,17.406,20.658,3.252,1.29151291512915,77.490774907749,4,0.317460317460317,37,49.3333333333333
"160",NA,"Adult",66,"M",4.2,16.193,19.193,3,1.4,84,3,0.238095238095238,30,40
"161",NA,"Adult",1,"M",4.2,7.078,10.578,3.5,1.2,72,4,0.317460317460317,17,22.6666666666667
"162",NA,"Adult",113,"M",4.2,24.448,27.193,2.745,1.53005464480874,91.8032786885246,2,0.158730158730159,40,53.3333333333333
"163",NA,"Adult",284,"M",4.2,56.678,59.426,2.748,1.52838427947598,91.7030567685588,2,0.158730158730159,44,58.6666666666667
"164",NA,"Adult",342,"M",4.2,41.619,45.118,3.499,1.20034295513004,72.0205773078022,4,0.317460317460317,20,26.6666666666667
"165",NA,"Adult",368,"M",4.2,12.375,15.373,2.998,1.40093395597065,84.0560373582389,3,0.238095238095238,23,30.6666666666667
"166",NA,"Adult",206,"W",4.2,15.739,19.268,3.529,1.19013884953245,71.4083309719467,4,0.317460317460317,34,45.3333333333333
"167",NA,"Adult",88,"F",4.2,30.582,34.081,3.499,1.20034295513004,72.0205773078022,4,0.317460317460317,36,48
"168",NA,"Adult",262,"M",4.2,37.766,40.769,3.003,1.3986013986014,83.9160839160839,3,0.238095238095238,44,58.6666666666667
"169",NA,"Adult",331,"M",4.2,35.981,38.708,2.727,1.54015401540154,92.4092409240925,2,0.158730158730159,20,26.6666666666667
"170",NA,"Adult",143,"F",4.2,15.033,18.54,3.507,1.19760479041916,71.8562874251497,4,0.317460317460317,31,41.3333333333333
"171",NA,"Adult",138,"F",4.2,3.734,6.734,3,1.4,84,3,0.238095238095238,31,41.3333333333333
"172",NA,"Adult",246,"M",4.2,50.222,53.227,3.005,1.39767054908486,83.8602329450916,3,0.238095238095238,37,49.3333333333333
"173",NA,"Adult",344,"M",4.2,9.536,13.117,3.581,1.17285674392628,70.3714046355766,4,0.317460317460317,20,26.6666666666667
"174",NA,"Adult",94,"F",4.2,58.953,62.705,3.752,1.11940298507463,67.1641791044777,5,0.396825396825397,36,48
"175",NA,"Adult",360,"M",4.2,20.095,23.594,3.499,1.20034295513004,72.0205773078022,4,0.317460317460317,23,30.6666666666667
"176",NA,"Adult",81,"M",4.2,47.013,49.512,2.499,1.68067226890756,100.840336134454,1,0.0793650793650794,30,40
"177",NA,"Adult",4,"M",4.2,40.674,43.177,2.503,1.67798641630044,100.679184978026,1,0.0793650793650794,17,22.6666666666667
"178",NA,"Adult",168,"F",4.2,47.917,51.168,3.251,1.29191018148262,77.5146108889573,4,0.317460317460317,33,44
"179",NA,"Adult",231,"M",4.2,55.16,58.502,3.34200000000001,1.25673249551167,75.4039497307,4,0.317460317460317,34,45.3333333333333
"180",NA,"Adult",322,"M",4.2,51.185,55.186,4.001,1.0497375656086,62.9842539365159,5,0.396825396825397,29,38.6666666666667
"181",NA,"Adult",100,"M",4.2,21.262,24.014,2.752,1.52616279069768,91.5697674418605,2,0.158730158730159,36,48
"182",NA,"Adult",227,"M",4.2,35.456,38.38,2.924,1.43638850889193,86.1833105335158,3,0.238095238095238,34,45.3333333333333
"183",NA,"Adult",264,"F",4.2,46.02,49.268,3.248,1.29310344827586,77.5862068965518,4,0.317460317460317,44,58.6666666666667
"184",NA,"Adult",269,"F",4.2,23.879,26.376,2.497,1.68201842210653,100.921105326392,1,0.0793650793650794,44,58.6666666666667
"185",NA,"Adult",327,"F",4.2,36.959,41.212,4.253,0.987538208323536,59.2522924994122,6,0.476190476190476,29,38.6666666666667
"186",NA,"Adult",59,"M",4.2,3.232,6.242,3.01,1.3953488372093,83.7209302325582,3,0.238095238095238,28,37.3333333333333
"187",NA,"Adult",45,"F",4.2,56.008,60.03,4.022,1.04425658876181,62.6553953257086,5,0.396825396825397,28,37.3333333333333
"188",NA,"Adult",185,"M",4.2,19.059,22.552,3.493,1.20240480961924,72.1442885771543,4,0.317460317460317,35,46.6666666666667
"189",NA,"Adult",95,"M",4.2,54.403,57.404,3.001,1.39953348883705,83.9720093302231,3,0.238095238095238,36,48
"190",NA,"Adult",140,"F",4.2,15.234,19.237,4.003,1.04921309018236,62.9527854109418,5,0.396825396825397,31,41.3333333333333
"191",NA,"Adult",159,"F",4.2,5.133,8.134,3.001,1.39953348883705,83.9720093302233,3,0.238095238095238,33,44
"192",NA,"Adult",364,"M",4.2,53.216,56.468,3.252,1.29151291512915,77.490774907749,4,0.317460317460317,23,30.6666666666667
"193",NA,"Adult",225,"F",4.2,22.438,25.959,3.521,1.19284294234592,71.5705765407555,4,0.317460317460317,34,45.3333333333333
