Walk_Speed,Sex,Walkway_width_category
70.6048482,Male,Hoima
70.6048482,Male,Hoima
70.6048482,Male,Hoima
70.6048482,Male,Hoima
70.58823529,Male,Hoima
70.58823529,Male,Hoima
70.58823529,Male,Hoima
70.58823529,Male,Hoima
70.58823529,Male,Hoima
70.5716302,Male,Hoima
70.5716302,Male,Hoima
70.5716302,Male,Hoima
70.5716302,Male,Hoima
70.5716302,Male,Hoima
70.5716302,Male,Hoima
70.55503293,Male,Hoima
70.55503293,Male,Hoima
70.55503293,Male,Hoima
70.55503293,Male,Hoima
70.53844345,Male,Hoima
70.53844345,Male,Hoima
70.52186178,Male,Hoima
70.52186178,Male,Hoima
70.52186178,Male,Hoima
70.5052879,Male,Hoima
70.5052879,Male,Hoima
70.5052879,Male,Hoima
70.4887218,Male,Hoima
70.20828458,Male,Hoima
70.20828458,Male,Hoima
70.14262333,Male,Hoima
70.14262333,Male,Hoima
67.99637353,Male,Hoima
67.00915792,Male,Hoima
66.74082314,Male,Hoima
66.72597865,Male,Hoima
66.71114076,Male,Hoima
66.71114076,Male,Hoima
66.66666667,Male,Hoima
66.65185514,Male,Hoima
66.6370502,Male,Hoima
66.6370502,Male,Hoima
66.62225183,Male,Hoima
66.60746004,Male,Hoima
66.60746004,Male,Hoima
